2022-05-08-02-42: epoch: 1 |tot 6.154099 | hm 1.590087 | wh 4.192929 | reg 0.308102 | tracking 3.836617 | time 3.500000 | 
2022-05-08-02-46: epoch: 2 |tot 3.275690 | hm 1.047953 | wh 2.374363 | reg 0.268494 | tracking 1.721807 | time 3.416667 | 
2022-05-08-02-49: epoch: 3 |tot 2.650844 | hm 0.810575 | wh 2.018967 | reg 0.264106 | tracking 1.374266 | time 3.433333 | 
2022-05-08-02-53: epoch: 4 |tot 2.161267 | hm 0.695572 | wh 1.563433 | reg 0.244016 | tracking 1.065337 | time 3.433333 | 
2022-05-08-02-56: epoch: 5 |tot 2.056522 | hm 0.646426 | wh 1.432868 | reg 0.237346 | tracking 1.029463 | time 3.433333 | 
2022-05-08-03-00: epoch: 6 |tot 1.849817 | hm 0.602095 | wh 1.280324 | reg 0.237239 | tracking 0.882451 | time 3.433333 | 
2022-05-08-03-03: epoch: 7 |tot 1.749935 | hm 0.543372 | wh 1.215632 | reg 0.229083 | tracking 0.855916 | time 3.433333 | 
2022-05-08-03-07: epoch: 8 |tot 1.711241 | hm 0.505260 | wh 1.127134 | reg 0.227883 | tracking 0.865385 | time 3.433333 | 
2022-05-08-03-10: epoch: 9 |tot 1.615399 | hm 0.473830 | wh 1.145617 | reg 0.219254 | tracking 0.807753 | time 3.416667 | 
2022-05-08-03-14: epoch: 10 |tot 1.534475 | hm 0.456549 | wh 1.022949 | reg 0.214759 | tracking 0.760872 | time 3.416667 | 
2022-05-08-03-17: epoch: 11 |tot 1.463711 | hm 0.429641 | wh 1.108315 | reg 0.211855 | tracking 0.711383 | time 3.433333 | 
2022-05-08-03-20: epoch: 12 |tot 1.489274 | hm 0.429237 | wh 1.072309 | reg 0.207969 | tracking 0.744837 | time 3.433333 | 
2022-05-08-03-24: epoch: 13 |tot 1.479045 | hm 0.413780 | wh 1.053799 | reg 0.206555 | tracking 0.753330 | time 3.433333 | 
2022-05-08-03-27: epoch: 14 |tot 1.380453 | hm 0.391226 | wh 0.997466 | reg 0.206411 | tracking 0.683070 | time 3.433333 | 
2022-05-08-03-31: epoch: 15 |tot 1.367461 | hm 0.376336 | wh 1.005157 | reg 0.207096 | tracking 0.683513 | time 3.416667 | 
2022-05-08-03-34: epoch: 16 |tot 1.360272 | hm 0.390542 | wh 0.988621 | reg 0.206315 | tracking 0.664553 | time 3.416667 | 
2022-05-08-03-38: epoch: 17 |tot 1.350172 | hm 0.372488 | wh 1.009073 | reg 0.200691 | tracking 0.676086 | time 3.433333 | 
2022-05-08-03-41: epoch: 18 |tot 1.359087 | hm 0.365661 | wh 0.993370 | reg 0.201345 | tracking 0.692744 | time 3.433333 | 
2022-05-08-03-45: epoch: 19 |tot 1.257777 | hm 0.333676 | wh 0.940495 | reg 0.195796 | tracking 0.634255 | time 3.433333 | 
2022-05-08-03-48: epoch: 20 |tot 1.260063 | hm 0.353269 | wh 0.964523 | reg 0.201797 | tracking 0.608545 | time 3.433333 | 
2022-05-08-03-51: epoch: 21 |tot 1.191658 | hm 0.319567 | wh 0.897774 | reg 0.196515 | tracking 0.585798 | time 3.433333 | 
2022-05-08-03-55: epoch: 22 |tot 1.192437 | hm 0.329614 | wh 0.910293 | reg 0.195395 | tracking 0.576400 | time 3.433333 | 
2022-05-08-03-58: epoch: 23 |tot 1.170805 | hm 0.311688 | wh 0.867934 | reg 0.188329 | tracking 0.583995 | time 3.433333 | 
2022-05-08-04-02: epoch: 24 |tot 1.209739 | hm 0.297688 | wh 0.866430 | reg 0.190285 | tracking 0.635123 | time 3.433333 | 
2022-05-08-04-05: epoch: 25 |tot 1.139677 | hm 0.289968 | wh 0.840474 | reg 0.184259 | tracking 0.581403 | time 3.433333 | 
2022-05-08-04-09: epoch: 26 |tot 1.164098 | hm 0.302855 | wh 0.880538 | reg 0.184966 | tracking 0.588223 | time 3.433333 | 
2022-05-08-04-12: epoch: 27 |tot 1.084735 | hm 0.275849 | wh 0.819443 | reg 0.185063 | tracking 0.541878 | time 3.433333 | 
2022-05-08-04-16: epoch: 28 |tot 1.146306 | hm 0.306043 | wh 0.868028 | reg 0.188885 | tracking 0.564575 | time 3.433333 | 
2022-05-08-04-19: epoch: 29 |tot 1.130053 | hm 0.291386 | wh 0.883913 | reg 0.188252 | tracking 0.562023 | time 3.433333 | 
2022-05-08-04-23: epoch: 30 |tot 1.164386 | hm 0.288250 | wh 0.877206 | reg 0.180845 | tracking 0.607571 | time 3.433333 | 
